window_s,condition,interventions,rrt_observed,rrt_missing,rrt_median_ms,rrt_mean_ms,pre_rate_observed,post_rate_observed,pre_rate_event_mean,post_rate_event_mean,delta_event_mean
3,with,19,19,0,482.0,669.8421052631579,19,19,0.3667469956943641,0.22295321637426901,-0.1437937793200951
3,without,26,25,1,650.0,922.84,25,25,0.3582230576441103,0.3807936507936508,0.02351103453077137
5,with,19,19,0,482.0,669.8421052631579,19,19,0.2929616803405878,0.2275978407557355,-0.06536383958485227
5,without,26,25,1,650.0,922.84,25,25,0.3196103896103896,0.3301265031265031,0.020626903960237294
10,with,19,19,0,482.0,669.8421052631579,19,19,0.25141316220561966,0.22446343646034048,-0.02694972574527915
10,without,26,25,1,650.0,922.84,25,25,0.3424975753742357,0.35254459681982164,0.010736210109714771
