participant,condition,interventions,rrt_observed,rrt_missing,rrt_median_ms,rrt_mean_ms,pre_rate_observed,post_rate_observed,pre_rate_event_mean,post_rate_event_mean,delta_event_mean
P1,with,5,5,0,580.0,698.4,5,5,0.25761904761904764,0.21,-0.04761904761904762
P1,without,9,9,0,613.0,895,9,9,0.41955266955266957,0.4134025439580995,-0.006150125594570035
P2,with,7,7,0,735.0,796.4285714285714,7,7,0.3305860805860806,0.22857142857142856,-0.10201465201465201
P2,without,4,4,0,1178.5,1377.75,4,4,0.31875,0.3263888888888889,0.007638888888888876
P3,with,3,3,0,482.0,533,3,3,0.24404761904761904,0.23333333333333334,-0.010714285714285723
P3,without,11,10,1,350.0,804.3,10,10,0.28559523809523807,0.2426984126984127,-0.0218694885361552
P4,with,4,4,0,259.0,515.25,4,4,0.307982816782627,0.24358974358974358,-0.06439307319288343
P4,without,2,2,0,731.0,731,2,2,0.041666666666666664,0.4,0.35833333333333334
