participant,condition,achievedHz,calibrationAccuracyDeg,calibrationPrecisionDeg,durationSec,nGazeSamples,gazeValidityRate
P1,with,89.98,0.6189229886715297,0.33014227666062335,185.521,16664,0.9623139702352377
P2,with,90.06,0.6852692476870158,0.2333624936592203,252.218,22688,0.9801216502115656
P3,with,89.41,0.3597887413642731,0.14605463859230255,171.483,15305,0.9247304802352172
P4,with,90.0,0.29558062830312515,0.08772431994853118,224.043,20136,0.9520262216924911
P1,without,89.9,0.4707264865412748,0.1769581265093829,475.089,42683,0.9393669610852096
P2,without,89.84,0.4454449773181558,0.17710795491438897,123.42,11063,0.9755039320256712
P3,without,89.87,0.38053339245927015,0.16035020157863458,385.589,34624,0.9503812384473198
P4,without,90.02,0.3276370443019425,0.08314775428322828,141.378,12697,0.9600693077104828
