condition,n,rrt_median_ms,rrt_mean_ms,pre_reg_rate,post_reg_rate,delta
with,19,482.0,669.8421052631579,0.2929616803405878,0.22759784075573547,-0.06536383958485227
without,26,650.0,922.84,0.31961038961038957,0.3301265031265031,0.020626903960237294
